Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/PA,MxPPA,CompLoc%,NonCompLoc%
1,1680543305,P. Wight,Parker Wight,Wight,Parker,1B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,53,238,945,42.8%,25.7%,74.3%,59.7%,33.9%,40.3%,37.7%,29.7%,29.6%,11.0%,3.97,10,72.8%,27.2%
2,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,57,238,913,51.5%,36.8%,63.2%,60.6%,29.6%,33.6%,37.9%,34.6%,18.7%,18.9%,3.84,9,70.6%,29.4%
3,1178187520,A. Dewberry,Amman Dewberry,Dewberry,Amman,RF,Presbyterian College,PRE,730184192,Presbyterian,BBC,L,L,51,196,663,55.4%,33.2%,66.8%,66.1%,38.1%,28.6%,38.2%,40.9%,24.0%,18.4%,3.38,9,75.3%,24.7%
4,1153713664,B. Vondohlen,Brett Vondohlen,Vondohlen,Brett,1B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,237,817,54.5%,33.3%,66.7%,65.8%,35.7%,31.0%,38.7%,37.1%,24.5%,18.1%,3.45,10,73.2%,26.8%
5,1304398080,C. Tuupo,Chandler Tuupo,Tuupo,Chandler,1B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,L,51,255,1002,42.7%,21.7%,78.3%,58.8%,40.7%,37.6%,39.0%,29.5%,28.0%,9.3%,3.93,10,74.0%,26.0%
6,1143045888,J. Bold,Jake Bold,Bold,Jake,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,43,193,856,33.2%,23.9%,76.1%,54.9%,40.1%,35.9%,39.0%,16.5%,32.5%,7.9%,4.44,10,73.4%,26.6%
7,1099927808,D. Dillehay,DJ Dillehay,Dillehay,DJ,SS,Brown University,BRWN,730236160,Brown,BBC,R,R,39,168,540,53.9%,24.7%,75.3%,67.0%,43.6%,31.6%,39.2%,38.3%,28.5%,13.3%,3.21,8,73.8%,26.2%
8,1152915712,N. Contrades,Nu'u Contrades,Contrades,Nu'u,3B,Arizona State University,ASU,5035,Arizona State,BBC,R,R,47,217,794,49.4%,21.2%,78.8%,60.3%,39.0%,39.8%,39.2%,30.5%,21.4%,10.5%,3.66,12,73.4%,26.6%
9,1268368896,R. Pierce,Ryan Pierce,Pierce,Ryan,3B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,61,275,1005,55.0%,24.2%,75.8%,66.3%,36.3%,39.4%,39.2%,40.2%,25.0%,13.3%,3.65,9,71.7%,28.3%
10,1310396928,B. Truitt,Brantley Truitt,Truitt,Brantley,2B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,43,182,711,41.5%,19.0%,81.0%,60.6%,39.0%,42.0%,39.3%,27.5%,32.7%,7.9%,3.91,12,75.7%,24.3%
11,1828659698,K. Valentin,Kareh Valentin,Valentin,Kareh,2B,Florida International University,FIU,4468,Florida International,BBC,R,R,47,160,559,42.8%,16.7%,83.3%,62.9%,52.7%,30.5%,39.4%,31.7%,35.1%,7.2%,3.49,8,76.2%,23.8%
12,1058192003,C. Schrack,Carson Schrack,Schrack,Carson,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,44,181,671,35.0%,8.5%,91.5%,53.9%,58.3%,33.2%,39.7%,19.2%,28.7%,3.0%,3.71,8,75.2%,24.8%
13,1115710464,N. Fleming,Nick Fleming,Fleming,Nick,LF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,41,137,535,35.5%,37.9%,62.1%,53.6%,36.3%,25.8%,39.8%,20.7%,27.2%,13.5%,3.91,8,72.7%,27.3%
14,1710518612,P. Craska,Petey Craska,Craska,Petey,1B,University of North Alabama,UNA,730266624,North Alabama,BBC,L,R,55,250,983,46.6%,24.9%,75.1%,56.9%,31.2%,43.9%,39.9%,26.4%,19.2%,11.6%,3.93,11,73.5%,26.5%
15,1112939209,A. Evasco,A.J. Evasco,Evasco,A.J.,RF,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,56,221,804,52.9%,21.6%,78.4%,63.4%,39.1%,39.3%,40.0%,34.8%,22.4%,11.4%,3.64,9,76.1%,23.9%
16,1192564993,C. Hynek,Colin Hynek,Hynek,Colin,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,52,227,845,39.2%,28.1%,71.9%,56.3%,38.4%,33.5%,40.1%,19.4%,28.1%,11.0%,3.72,9,76.5%,23.5%
17,1243322112,B. Madliak,Bear Madliak,Madliak,Bear,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,54,208,878,39.1%,28.3%,71.7%,57.7%,36.4%,35.3%,40.1%,23.4%,30.7%,11.0%,4.22,10,74.3%,25.7%
